title,artist,mood,lyrics
Paris in the Rain,Lauv,in love,None
ILYSB,LANY,in love,None
"she likes spring, I prefer winter",slchld,in love,None
I Wanna Be Yours,Pink Sweat$,in love,None
17,Pink Sweat$,in love,None
At My Worst,Pink Sweat$,in love,None
beside you,keshi,in love,None
magnolia,keshi,in love,None
I Like U,NIKI,in love,None
lowkey,NIKI,in love,None
Indigo,88rising,in love,None
I Love You 3000 II,88rising,in love,None
Lover Boy,Phum Viphurit,in love,None
It's You,Henry,in love,None
I′m Always by Your Side,John Park,in love,None
Can't Take My Eyes Off You,Joseph Vincent,in love,None
comethru (with Bea Miller),Jeremy Zucker,in love,None
Holy (feat. Chance The Rapper),Justin Bieber,in love,None
Sunflower,Rex Orange County,in love,None
Feels Like You,Faime,in love,None
This Time,Jeff Bernat,in love,None
Call You Mine (feat. Geologic Of The Blue Scholars),Jeff Bernat,in love,None
"always, i'll care",Jeremy Zucker,in love,None
Fallin' All In You,Shawn Mendes,in love,None
Smile,Johnny Stimson,in love,None
I.F.L.Y.,Bazzi,in love,None
Make You Mine,PUBLIC,in love,None
Yellow Hearts (feat. Audrey Mika),Ant Saunders,in love,None
Falling for U,Peachy!,in love,None
Coffee Breath,Sofia Mills,in love,None
Green Tea & Honey,Dane Amar,in love,None
Honeypie,JAWNY,in love,None
3:00 AM,Finding Hope,in love,None
Mariposa,Peach Tree Rascals,in love,None
Let's Fall in Love for the Night,FINNEAS,in love,None
It's You,Ali Gatie,in love,None
Painkiller,Ruel,in love,None
Intentions,Justin Bieber,in love,None
Roses,Finn Askew,in love,None
Strawberries & Cigarettes,Troye Sivan,in love,None
YOUTH,Troye Sivan,in love,None
Angel Baby,Troye Sivan,in love,None
Die For You,The Weeknd,in love,None
Our First Song,Joseph Vincent,in love,None
Constant,Jesse Barrera,in love,None
Nothing,Jeremy Passion,in love,None
Lemonade,Jeremy Passion,in love,None
There's Nothing Holdin' Me Back - Acoustic,Shawn Mendes,in love,None
Sucker,Jonas Brothers,in love,None
Pure Imagination,Unclenathannn,in love,None
Darlin',tobi lou,in love,None
Please Me,Cardi B,in love,None
"10,000 Hours (with Justin Bieber)",Dan + Shay,in love,None
dancing in the kitchen,LANY,in love,None
i wanna be your girlfriend,girl in red,in love,None
Better,Khalid,in love,None
death bed (coffee for your head),Powfu,in love,None
Just The Two of Us,Kauai45,in love,None
CAN'T GET OVER YOU (feat. Clams Casino),Joji,in love,None
Not Around,Nova,in love,None
this is what falling in love feels like,JVKE,in love,None
Loverboy,A-Wall,in love,None
Let's Fall in Love for the Night,FINNEAS,in love,None
Love Me Like That,Sam Kim,in love,None
Nothin' on You (feat. Bruno Mars),B.o.B,in love,None
Mind Games,Sickick,in love,None
La Vie En Rose,Emily Watts,in love,None
Morning Coffee,Chevy,in love,None
Butterflies,Johnny Stimson,in love,None
All I Need,Lloyd,in love,None
Jam & Butterfly,DPR LIVE,in love,None
Nothing,Bruno Major,in love,None
Stuck with U (with Justin Bieber),Ariana Grande,in love,None
Every Summertime,NIKI,in love,None
Hrs and Hrs,Muni Long,in love,None
You Belong With Me (Taylor’s Version),Taylor Swift,in love,None
Love Story (Taylor’s Version),Taylor Swift,in love,None
Wildest Dreams (Taylor's Version),Taylor Swift,in love,None
Style,Taylor Swift,in love,None
Lover,Taylor Swift,in love,None
Enchanted,Taylor Swift,in love,None
Love On The Brain,Rihanna,in love,None
Let Me Love You,Ariana Grande,in love,None
Candy,Dane Amar,in love,None
Adore You,Harry Styles,in love,None
I GUESS I'M IN LOVE,Clinton Kane,in love,None
Dissolve,Absofacto,in love,None
Perfect,One Direction,in love,None
See You Again (feat. Kali Uchis),"Tyler, The Creator",in love,None
More Than Friends,Aidan Bissett,in love,None
Glimpse of Us,Joji,heartbroken,None
Before You Go,Lewis Capaldi,heartbroken,None
It'll Be Okay,Shawn Mendes,heartbroken,None
traitor,Olivia Rodrigo,heartbroken,None
Bigger Than The Whole Sky,Taylor Swift,heartbroken,None
How Do I Say Goodbye,Dean Lewis,heartbroken,None
TV,Billie Eilish,heartbroken,None
GHOST TOWN,Benson Boone,heartbroken,None
Fingers Crossed,Lauren Spencer Smith,heartbroken,None
Matilda,Harry Styles,heartbroken,None
go,Cat Burns,heartbroken,None
I GUESS I'M IN LOVE,Clinton Kane,heartbroken,None
Lonely (with benny blanco),Justin Bieber,heartbroken,None
Easy On Me,Adele,heartbroken,None
Space Song,Beach House,heartbroken,None
Get You The Moon (feat. Snøw),Kina,heartbroken,None
drunk text me,Lexi Jayde,heartbroken,None
You're Somebody Else,flora cash,heartbroken,None
The Night We Met,Lord Huron,heartbroken,None
drivers license,Olivia Rodrigo,heartbroken,None
this isn't home,raspy,heartbroken,None
Heartbreak Anniversary,Giveon,heartbroken,None
Where's My Love,SYML,heartbroken,None
Someone You Loved,Lewis Capaldi,heartbroken,None
Broken,Maro,heartbroken,None
Visiting Hours,Ed Sheeran,heartbroken,None
Is It Just Me? (feat. JP Cooper),Emily Burns,heartbroken,None
Tainted,Max Wells,heartbroken,None
Family Line,Conan Gray,heartbroken,None
dark until september.,will hyde,heartbroken,None
The Ballet Girl,Aden Foyer,heartbroken,None
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,heartbroken,None
Lust Not Love,Maro,heartbroken,None
Say You Won't Let Go,James Arthur,heartbroken,None
Take That Chance,Fearless Soul,heartbroken,None
Stolen Dance,Milky Chance,heartbroken,None
Still Lost,Jacob Tillberg,heartbroken,None
SSRI,Miles Jenson,heartbroken,None
24/5,Mimi Webb,heartbroken,None
Phantom Limb,The Sometimes Island,heartbroken,None
I Fall Apart,Post Malone,heartbroken,None
Let You Down,NF,heartbroken,None
I Wonder,3LetterzNUK,heartbroken,None
you broke me first,Tate McRae,heartbroken,None
You Are The Reason,Calum Scott,heartbroken,None
Out Of Love,Adelina,heartbroken,None
happier,Olivia Rodrigo,heartbroken,None
Be Alright,Dean Lewis,heartbroken,None
Lighthouse,Sasha,heartbroken,None
Creep,ORYL,heartbroken,None
Coping,Rosie Darling,heartbroken,None
You're Gonna Be OK,Fearless Soul,heartbroken,None
Heather,Conan Gray,heartbroken,None
Every Piece of Me,Jack Fanselau,heartbroken,None
Half A Man,Dean Lewis,heartbroken,None
Fly Away,ORYL,heartbroken,None
IDK You Yet,Alexander 23,heartbroken,None
Hobbesian World,T.W.M,heartbroken,None
Let Me Down Slowly,Alec Benjamin,heartbroken,None
Humming Heart,Emily Victoria,heartbroken,None
Always Been You,Jessie Murph,heartbroken,None
LET THE GRASS GROW,Ruel,heartbroken,None
Hasn't Gotten Easier,Riun Garner,heartbroken,None
comethru,Jeremy Zucker,heartbroken,None
2 Much,Justin Bieber,heartbroken,None
favorite crime,Olivia Rodrigo,heartbroken,None
My Universe,Brandon Colbein,heartbroken,None
Old Flame,Sody,heartbroken,None
you were good to me (bonus track),Jeremy Zucker,heartbroken,None
It's All Over,Maro,heartbroken,None
Bruises,Lewis Capaldi,heartbroken,None
I'll Love You Forever,David Alex-Barton,heartbroken,None
Imagination,Shawn Mendes,heartbroken,None
let me down slowly,sorry idk,heartbroken,None
Falling,Harry Styles,heartbroken,None
Love Someone,Lukas Graham,heartbroken,None
"Lover, You Should've Come Over",Kari Kirkland,heartbroken,None
changes,XXXTENTACION,heartbroken,None
Garden of Creation [Radio Edit],Jason Spirit,heartbroken,None
If You Want Love,NF,heartbroken,None
Runaway,Jared Henry,heartbroken,None
lie to me,Tate McRae,heartbroken,None
glimpse of us,sorry idk,heartbroken,None
Afterthought,Joji,heartbroken,None
Do You Love Me Today?,Delilah Brao,heartbroken,None
that way,Tate McRae,heartbroken,None
Lost Goodbye,Woody,heartbroken,None
Can We Kiss Forever?,Kina,heartbroken,None
in beetween,Annie Omalley,heartbroken,None
lovely (with Khalid),Billie Eilish,heartbroken,None
STARSIGN,Chlo Subia,heartbroken,None
hope ur ok,Olivia Rodrigo,heartbroken,None
Misfit,Noah Pepper,heartbroken,None
never knew a heart could break itself,Zach Hood,heartbroken,None
Stardust,Safiyah Hernandez,heartbroken,None
Arcade,Duncan Laurence,heartbroken,None
Flowers,ILIRA,heartbroken,None
On My Mind,Malachi Gagnon,heartbroken,None
Ghost,Justin Bieber,heartbroken,None
Wings,Sweet Imperfections,heartbroken,None
Left Hand Free (Extended Version),alt-J,non-romance,None
Mr. Blue Sky,Electric Light Orchestra,non-romance,None
Radioactive,Imagine Dragons,non-romance,None
Act My Age,Hoodie Allen,non-romance,None
Believer,Imagine Dragons,non-romance,None
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,non-romance,None
Electricity,Elton John,non-romance,None
Roaring 20s,Panic! At The Disco,non-romance,None
Most Girls,Hailee Steinfeld,non-romance,None
Pompeii,Bastille,non-romance,None
Eraser,Ed Sheeran,non-romance,None
What Do I Know?,Ed Sheeran,non-romance,None
Bibia Be Ye Ye,Ed Sheeran,non-romance,None
Teenagers,My Chemical Romance,non-romance,None
"The Stupid, the Proud",IAMX,non-romance,None
You Need To Calm Down,Taylor Swift,non-romance,None
Grease - From “Grease” Original Motion Picture Soundtrack,Frankie Valli,non-romance,None
Johnny B. Goode - Single Version,Chuck Berry,non-romance,None
House of Gold,Twenty One Pilots,non-romance,None
Bohemian Rhapsody - Remastered 2011,Queen,non-romance,None
Paralyzed,NF,non-romance,None
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,non-romance,None
Bad Reputation,Joan Jett & the Blackhearts,non-romance,None
This Is War,Thirty Seconds To Mars,non-romance,None
Migraine,Twenty One Pilots,non-romance,None
Pumped Up Kicks,Foster The People,non-romance,None
Sail,AWOLNATION,non-romance,None
Battle Cry,Imagine Dragons,non-romance,None
I Don't Wanna Be Sad,Simple Plan,non-romance,None
Price Tag,Jessie J,non-romance,None
Ain't It Fun,Paramore,non-romance,None
R.I.P. 2 My Youth,The Neighbourhood,non-romance,None
Fireflies,Owl City,non-romance,None
Airplanes (feat. Hayley Williams of Paramore),B.o.B,non-romance,None
I See Fire,Ed Sheeran,non-romance,None
"You Need Me, I Don't Need You",Ed Sheeran,non-romance,None
Guns for Hands,Twenty One Pilots,non-romance,None
Good Day,DNCE,non-romance,None
Come Together - Remastered,The Beatles,non-romance,None
Fight Song,Rachel Platten,non-romance,None
Come Together,Aerosmith,non-romance,None
Blitzkrieg Bop - 2016 Remaster,Ramones,non-romance,None
We Are the Kids,WALK THE MOON,non-romance,None
Thunder,Imagine Dragons,non-romance,None
Feel It Still,Portugal. The Man,non-romance,None
Fly - FKJ Remix,June Marieezy,non-romance,None
Reckless,Healy,non-romance,None
Icarus,Bastille,non-romance,None
"Weight Of Living, Pt. I",Bastille,non-romance,None
Paradise,Coldplay,non-romance,None
Take It Back,Logic,non-romance,None
Legend,The Score,non-romance,None
Miracle,The Score,non-romance,None
Shakedown,The Score,non-romance,None
We're Alright,R5,non-romance,None
Immortals,Fall Out Boy,non-romance,None
Secret For The Mad,dodie,non-romance,None
The Currents,Bastille,non-romance,None
6/10,dodie,non-romance,None
Campus,Bastille,non-romance,None
Four Walls (The Ballad Of Perry Smith),Bastille,non-romance,None
Blame,Bastille,non-romance,None
Snakes,Bastille,non-romance,None
Party Tattoos,dodie,non-romance,None
High Hopes,Panic! At The Disco,non-romance,None
Let's Get It Started - Spike Mix,Black Eyed Peas,non-romance,None
One of the Drunks,Panic! At The Disco,non-romance,None
King of the Clouds,Panic! At The Disco,non-romance,None
Myself,Bazzi,non-romance,None
The Greatest Show,Panic! At The Disco,non-romance,None
Haircut,Ryan Beatty,non-romance,None
The Boogie,Outasight,non-romance,None
Wii Tennis,Splash Daddy,non-romance,None
"Masquerade (feat. Kiernan Shipka, Ross Lynch, Lucy Davis, Jaz Sinclair, Tati Gabrielle, Leatherwood & Miranda Otto)",Cast of Chilling Adventures of Sabrina,non-romance,None
all the good girls go to hell,Billie Eilish,non-romance,None
Balance ton quoi,Angèle,non-romance,None
Okay,Chase Atlantic,non-romance,None
Cool,Jonas Brothers,non-romance,None
Good Time,Owl City,non-romance,None
Demons,Imagine Dragons,non-romance,None
It's Time,Imagine Dragons,non-romance,None
I Cry,Flo Rida,non-romance,None
comethru,Jeremy Zucker,non-romance,None
Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,non-romance,None
Hard Times,Paramore,non-romance,None
Boss Bitch,Doja Cat,non-romance,None
Danger,Jucee Froot,non-romance,None
Two 10s,Quinn XCII,non-romance,None
Campus,Bastille,non-romance,None
XS,Rina Sawayama,non-romance,None
Idk,Bruce Wiegner,non-romance,None
The Great Escape,Boys Like Girls,non-romance,None
Choke,I DONT KNOW HOW BUT THEY FOUND ME,non-romance,None
prom dress,mxmtoon,non-romance,None
Sad Still,Quinn XCII,non-romance,None
Joy to the World,Shameik Moore,non-romance,None
Kids,MGMT,non-romance,None
"jealousy, jealousy",Olivia Rodrigo,non-romance,None
What's New Scooby-Doo?,Simple Plan,non-romance,None
Unwritten,Natasha Bedingfield,non-romance,None
