title,artist,mood,lyrics
Eraser,Ed Sheeran,non-romance,"I was born inside a small town, I lost that state of mind Learned to sing inside the Lord's house, but stopped the age of nine I forget when I get awards now the wave I had to ride The paving stones I played upon that kept me on the grind So blame it on the pain that blessed me with the life Friends and family filled with envy when they should be filled with pride And when the world's against me is when I really come alive And every day that Satan tempts me, I try to take it in my stride You know that I've got whisky with white lies, and smoke in my lungs I think life has got to the point, I know without it's no fun I need to get in the right mind, and clear myself up Instead, I look in the mirror questioning what I've become Guess it's a stereotypical day for someone like me Without a nine-to-five job or a uni degree To be caught up in the trappings of the industry Show me the locked doors, I'll find another use for the key And you'll see  I'm well aware of certain things that can destroy a man like me But with that said give me one more   Another one to take the sting away I am happy on my own, so here I'll stay Save your lovin' arms for a rainy day And I'll find comfort in my pain eraser   I used to think that nothing could be better than touring the world with my songs I chased the pictured perfect life, I think they painted it wrong I think that money is the root of all evil, and fame is hell Relationships, and hearts you fixed, they break as well And ain't nobody wanna see you down in the dumps Because you're living your dream, man, this shit should be fun Please know that I'm not trying to preach like I'm Reverend Run I beg you, don't be disappointed with the man I've become Conversations with my father on the A14 Age 12 telling me I've gotta chase those dreams Now I'm playing for the people, dad, and they know me With my beaten small guitar, wearing the same old jeans Wembley Stadium crowd's 240 thou' I may have grown up, but I hope that Damian's proud And to the next generation, inspiration's allowed The world may be filled with hate, but keep erasing it now Somehow You might also like I'm well aware of certain things that will befall a man like me But with that said give me one more   Another one to take the sting away Oh, I am happy on my own, so here I'll stay Save your lovin' arms for a rainy day And I'll find comfort in my pain eraser And I'll find comfort in my pain eraser And I'll find comfort in my pain eraser   Welcome to the new show I guess you know I've been away But where I'm heading, who knows? But my heart will stay the same Welcome to the new show I guess you know I've been away But where I'm heading, who knows? My pain eraser   And I'll find comfort in my pain eraser And I'll find comfort in my pain eraser And I'll find comfort in my pain eraser And I'll find comfort in my pain eraser32Embed"
What Do I Know?,Ed Sheeran,non-romance,"Ain't got a soapbox I can stand upon But God gave me a stage, a guitar and a song My daddy told me, ""Son, don't you get involved in Politics, religions, other peoples' quarrels""   I'll paint the picture, let me set the scene I know when I have children they will know what it means And I pass on these things my family's given to me Just love, and understanding positivity  We could change this whole world with a piano Add a bass, some guitar, grab a beat and away we go I'm just a boy with a one-man show No university, no degree, but lord knows Everybody's talking 'bout exponential growth And the stock market crashing and their portfolios While I'll be sitting here with a song that I wrote Sing, love could change the world in a moment But what do I know? Love can change the world in a moment But what do I know? Love can change the world in a moment   The revolution's coming, it's a minute away I saw people marching in the streets today You know we are made up of love and hate But both of them are balanced on a razor blade   I'll paint the picture, let me set the scene I know, I'm all for people following their dreams Just re-remember life is more than fittin' in your jeans It's love and understanding positivity You might also like We could change this whole world with a piano Add a bass, some guitar, grab a beat and away we go I'm just a boy with a one-man show No university, no degree, but lord knows Everybody's talking 'bout exponential growth And the stock market crashing and their portfolios While I'll be sitting here with a song I wrote Sing, love could change the world in a moment But what do I know? Love can change the world in a moment But what do I know? Love can change the world in a moment   I'll paint the picture, let me set the scene You know, the future's in the hands of you and me So let's all get together, we can all be free Spread love and understanding, positivity   We could change this whole world with a piano Add a bass, some guitar, grab a beat and away we go I'm just a boy with a one-man show No university, no degree, but lord knows Everybody's talking 'bout exponential growth And the stock market crashing and their portfolios While I'll be sitting here with a song I wrote Sing, love could change the world in a moment But what do I know? Love can change the world in a moment But what do I know? Love can change the world in a moment22Embed"
Bibia Be Ye Ye,Ed Sheeran,non-romance,"Bibia be ye ye   I lost my shoes last night, I don't know where I put my keys I was tired and fell asleep beneath an oak tree I bet my mother's proud of me from each scar Upon my knuckle and each graze upon my knee, and all I know Is I got a cab and then threw up on his car seat He kicked me out and then I walked in the rain I tell myself in every way I won't be doing this again And tomorrow's a brand new day  Someone told me, ""Always say what's on your mind"" And I am only being honest with you, I I get lonely and make mistakes from time to time Se enioma enko ye, bibia be ye ye Bibia be ye ye, ye ye, ye ye Bibia be ye ye   I remember less and less and mostly things that I regret In my phone are several texts, from girls I've never met And in the pocket of my jeans are only coins and broken dreams My heart is breaking at the seams and I'm coming apart now Now things are looking up, I'll find my shoes right next to the oak tree And I'll get a bus straight into town and spend the afternoon Looking around for the things that I left on the ground And say you're with me, tomorrow's a brand new day   Someone told me, ""Always say what's on your mind"" And I am only being honest with you, I I get lonely and make mistakes from time to time Se enioma enko ye, bibia be ye ye Wo nooma  Wo nooma maaaa ye  Wo nooma  Wo nooma maaaa ye  Wo nooma  Wo nooma maaaa ye  Wo nooma  Wo nooma maaaa ye  You might also like Someone told me, ""Always say what's on your mind"" And I am only being honest with you, I I get lonely and make mistakes from time to time Se enioma enko ye, bibia be ye ye Bibia be ye ye, ye ye, ye ye Bibia be ye ye Wo nooma  Wo nooma maaaa ye   Wo nooma  Wo nooma maaaa ye  Bibia be ye ye Wo nooma  Wo nooma maaaa ye  Wo nooma  Wo nooma maaaa ye 18Embed"
Teenagers,My Chemical Romance,non-romance,"They're gonna clean up your looks with all the lies in the books To make a citizen out of you Because they sleep with a gun and keep an eye on you, son So they can watch all the things you do Because the drugs never work, they're gonna give you a smirk 'Cause they got methods of keeping you clean They're gonna rip up your heads, your aspirations to shreds Another cog in the murder machine   They said, ""All teenagers scare the living shit out of me They could care less as long as someone'll bleed"" So darken your clothes or strike a violent pose Maybe they'll leave you alone, but not me  The boys and girls in the clique, the awful names that they stick You're never gonna fit in much, kid But if you're troubled and hurt, what you got under your shirt Will make them pay for the things that they did   They said, ""All teenagers scare the living shit out of me They could care less as long as someone'll bleed"" So darken your clothes or strike a violent pose Maybe they'll leave you alone, but not me, oh, yeah    They said, ""All teenagers scare the living shit out of me They could care less as long as someone'll bleed"" So darken your clothes or strike a violent pose Maybe they'll leave you alone, but not me All together now   ""Teenagers scare the living shit out of me They could care less as long as someone'll bleed"" So darken your clothes or strike a violent pose Maybe they'll leave you alone, but not me ""Teenagers scare the living shit out of me They could care less as long as someone'll bleed"" So darken your clothes or strike a violent pose Maybe they'll leave you alone, but not meYou might also like103Embed"
"The Stupid, the Proud",IAMX,non-romance,"God is dead We get to sleep tonight Walk with me into the truth Out of your lies Man equals woman I'm just the messenger, don't shoot me down The armies of faithful The killers of reason, the grief for the crown  The stupid, the proud They blow our houses down The stupid, the proud They blow our houses down  Exalt yourself Do it to stay alive Serve your duty You must demand, they must abide Queer is the universe Habit the liberty, destructive in time Hunt down your future And everything you know is not enough to survive   The stupid, the proud They blow our houses down The stupid, the proud They blow our houses downYou might also like1Embed"
You Need To Calm Down,Taylor Swift,non-romance,"You are somebody that I don't know But you're takin' shots at me like it's Patrón And I'm just like, damn, it's 7 AM Say it in the street, that's a knock-out But you say it in a Tweet, that's a cop-out And I'm just like, ""Hey, are you okay?""   And I ain't tryna mess with your self-expression But I've learned a lesson that stressin' and obsessin' 'bout somebody else is no fun And snakes and stones never broke my bones  So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh You need to calm down, you're being too loud And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh  You need to just stop, like can you just not step on my gown? You need to calm down   You are somebody that we don't know But you're comin' at my friends like a missile Why are you mad when you could be GLAAD?  Sunshine on the street at the parade But you would rather be in the dark ages Makin' that sign must've taken all night   You just need to take several seats and then try to restore the peace And control your urges to scream about all the people you hate 'Cause shade never made anybody less gay   So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh You need to calm down, you're being too loud And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh  You need to just stop, like can you just not step on his gown? You need to calm down You might also like And we see you over there on the internet Comparing all the girls who are killing it But we figured you out We all know now we all got crowns You need to calm down   Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh You need to calm down  You're being too loud  And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh  You need to just stop  Like can you just not step on our gowns? You need to calm down123Embed"
Grease - From “Grease” Original Motion Picture Soundtrack,Frankie Valli,non-romance,none
Johnny B. Goode - Single Version,Chuck Berry,non-romance,"LyricsSister Rosetta Tharpe - Strange Things Happening Every Day Chuck Berry - Johnny B. Goode Little Richard - Tutti Frutti Elvis Presley - Blue Suede Shoes Sister Rosetta Tharpe - Rock Daniel Johnny Cash - Ring of Fire The Rolling Stones - I Just Want To Make Love To You  Fats Domino - Ain't That A Shame Sister Rosetta Tharpe - That's All Chubby Checker - The Twist The Kingsmen - Louie Louie Elvis Presley - Jailhouse Rock The Rolling Stones - Jumpin' Jack Flash  Roy Orbison - Oh, Pretty Woman The Beatles - Twist And Shout  Little Richard - Long Tall Sally Bill Haley & His Comets -  Rock Around The Clock Sister Rosetta Tharpe - Down by the Riverside Sister Rosetta Tharpe - Rock Me  The Who - My Generation  Neil Sedaka - Calendar Girl Little Richard - Good Golly Miss Molly Jerry Lee Lewis - Great Balls Of Fire Sister Rosetta Tharpe - Shout, Sister, Shout!  Buddy Holly - That'll Be The Day Johnny Cash - I Walk the Line The Beatles - All My Loving  Chuck Berry - Run Rudolph Run  Jerry Lee Lewis - Whole Lot of Shakin' Going On The Rolling Stones - I'm A King Bee Johnny Cash - A Boy Named Sue  Chuck Berry - You Never Can Tell Johnny Cash - Folsom Prison Blues  The Beach Boys - Surfin' U.S.A.  Elvis Presley - Hound Dog Elvis Presley - Heartbreak Hotel Carl Perkins - Blue Suede Shoes Carl Perkins - Matchbox Chuck Berry - Roll Over Beethoven Fats Domino - Blueberry Hill Chubby Checker - Let's Twist Again Chuck Berry - No Particular Place To Go The Beatles - I Saw Her Standing There  Neil Sedaka - Breaking Up Is Hard to Do Carl Perkins - Boppin' The Blues Chuck Berry - Maybellene  Jerry Lee Lewis - Wild One John Mayall & The Bluesbreakers - All Your Love   The Beatles - A Hard Day's Night  Chuck Berry - Sweet Little SixteenEmbed"
House of Gold,Twenty One Pilots,non-romance,"She asked me, ""Son, when I grow old Will you buy me a house of gold? And when your father turns to stone Will you take care of me?"" She asked me, ""Son, when I grow old Will you buy me a house of gold? And when your father turns to stone Will you take care of me?"" I will make you queen of everything you see I'll put you on the map, I'll cure you of disease  Let's say we up and left this town And turned our future upside down We'll make pretend that you and me Lived ever after happily   She asked me, ""Son, when I grow old Will you buy me a house of gold? And when your father turns to stone Will you take care of me?"" I will make you queen of everything you see I'll put you on the map, I'll cure you of disease   And since we know that dreams are dead And life turns plans up on their head I will plan to be a bum So I just might become someone   She asked me, ""Son, when I grow old Will you buy me a house of gold? And when your father turns to stone Will you take care of me?"" I will make you queen of everything you see I'll put you on the map, I'll cure you of diseaseYou might also like113Embed"
Bohemian Rhapsody - Remastered 2011,Queen,non-romance,"LyricsBTS - Butter Maroon 5 - Memories Imagine Dragons - Follow You One Direction - Best Song Ever Queen - Bohemian Rhapsody The Beatles - Let It Be  Måneskin - Beggin' Arctic Monkeys - Why'd You Only Call Me When You're High? Linkin Park - In the End BLACKPINK - Ice Cream  Twenty One Pilots - Shy Away $uicideboy$ - ...And to Those I Love, Thanks for Sticking Around The Neighbourhood - Sweater Weather Red Hot Chili Peppеrs - Scar Tissue AC/DC - Thunderstruck Black Eyed Pеas - I Gotta Feeling OneRepublic - Someday Metallica - Enter Sandman Little Mix - Sweet Melody Zé Felipe & Os Barões Da Pisadinha - Senta Danada The Chainsmokers, ILLENIUM & Lennon Stella - Takeaway Glass Animals - Heat Waves TWICE - The Feels Nirvana - Come As You Are Migos - Straightenin Banda MS de Sergio Lizárraga - La Casita Reik & Maluma - Perfecta Grupo Firme - Ya Supérame  Green Day - Boulevard of Broken Dreams 5 Seconds of Summer - Youngblood ABBA - Chiquitita The Rolling Stones - Start Me Up  Panic! At The Disco - High Hopes Pink Floyd - Wish You Were Here  Bob Marley & The Wailers - Is This Love Guns N' Roses - Sweet Child O' Mine Jorge & Mateus - Namorando Com Saudade Internet Money - His & Hers  Tame Impala - Borderline Wisin & Yandel, Chris Brown & T-Pain - Algo Me Gusta De Ti Daft Punk - One More Time Jonas Brothers - Sucker Aventura & Bad Bunny - Volví U2 - Beautiful Day Bring Me The Horizon - DiE4u Bon Jovi - It's My Life Led Zeppelin - Whole Lotta Love  Calibre 50 - A La Antigüita Henrique & Juliano - Arranhão  Stray Kids - ThunderousEmbed"
Paralyzed,NF,non-romance,"When did I become so numb? When did I lose myself? All the words that leave my tongue Feel like they came from someone else   I'm paralyzed, where are my feelings? I no longer feel things, I know I should I'm paralyzed, where is the real me? I'm lost and it kills me inside, I'm paralyzed  When did I become so cold? When did I become ashamed?  Where's the person that I know? They must have left, they must have left, with all of my faith   I'm paralyzed, where are my feelings? I no longer feel things, I know I should I'm paralyzed, where is the real me? I'm lost and it kills me inside, I'm paralyzed   I'm paralyzed I'm scared to live, but I'm scared to die And if life is pain then I buried mine A long time ago, but it's still alive And it's takin' over me, where am I? I wanna feel somethin', I'm numb inside But I don't feel nothin', I wonder why? I'm in the race of life and time passed by Look, I sit back and I watch it Hands in my pockets Waves come crashin' over me, but I just watch 'em I just watch 'em I'm underwater but I feel like I'm on top of it I'm at the bottom but I don't know what the problem is I'm in a box, but I'm the one that locked me in  Suffocatin' and I'm runnin' out of oxygen, ah! You might also like I'm paralyzed, where are my feelings? I no longer feel things, I know I should I'm paralyzed, where is the real me? I'm lost and it kills me inside, I'm paralyzed    I'm paralyzed  Where are my feelings? I no longer feel things  I know I should  I'm paralyzed  Where is the real me?  I'm lost and it kills me,  inside  I'm paralyzed 71Embed"
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,non-romance,none
Bad Reputation,Joan Jett & the Blackhearts,non-romance,"I don't give a damn 'bout my reputation You're living in the past, it's a new generation And a girl can do what she wants to do That's what I'm gonna do   And I don't give a damn 'bout my bad reputation Oh no  Not me   I don't give a damn 'bout my reputation Never said I wanted to improve my station And I'm only doin' good when I'm havin' fun And I don't have to please no one   And I don't give a damn 'bout my bad reputation Oh no  Not me  Oh no  Not me    I don't give a damn 'bout my reputation Never been afraid of any deviation Don't really care if you think I'm strange I ain't gonna change   And I'm never gonna care 'bout my bad reputation Oh no  Not me  Oh no  Not me  Alright You might also like I don't give a damn 'bout my reputation The world's in trouble, there's no communication And everyone can say what they wanna say It never gets better anyway   Why should I care about my bad reputation anyway? Oh no  Not me  Oh no  Not me  Not me   Not meEmbed"
This Is War,Thirty Seconds To Mars,non-romance,"A warning to the people The good and the evil This is war To the soldier, the civilian The martyr, the victim This is war   It's the moment of truth and the moment to lie The moment to live and the moment to die The moment to fight, the moment to fight To fight, to fight, to fight  To the right, to the left We will fight to the death To the edge of the Earth It's a brave new world From the last to the first To the right, to the left We will fight to the death To the edge of the Earth It's a brave new world It's a brave new world   A warning to the prophet The liar, the honest This is war To the leader, the pariah The victor, the messiah This is wa-a-ar yeah   It's the moment of truth and the moment to lie The moment to live and the moment to die The moment to fight, the moment to fight To fight, to fight, to fight You might also like To the right, to the left We will fight to the death To the edge of the Earth It's a brave new world From the last to the first To the right, to the left We will fight to the death To the edge of the Earth It's a brave new world It's a brave new world It's a brave new world   I do believe in the light Raise your hands into the sky The fight is done, the war is won Lift your hands toward the sun Toward the sun Toward the sun (It's the moment of truth and the moment to lie The moment to live and the moment to die) Toward the sun (It's the moment of truth and the moment to lie The moment to live and the moment to die) Toward the sun (It's the moment to fight, the moment to fight To fight, to fight, to fight) The war is won  To the right, to the left We will fight to the death To the edge of the Earth It's a brave new world From the last to the first To the right, to the left We will fight to the death To the edge of the Earth It's a brave new world It's a brave new world It's a brave new world   A brave new world The war is won The war is won A brave new world27Embed"
Migraine,Twenty One Pilots,non-romance,"Am I the only one I know Waging my wars behind my face and above my throat? Shadows will scream that I'm alone-lone-lone...   I-I-I-I've got a migraine And my pain will range from up, down, and sideways Thank God it's Friday 'cause Fridays will always be better than Sundays 'Cause Sundays are my suicide days I don't know why they always seem so dismal Thunderstorms, clouds, snow, and a slight drizzle Whether it's the weather or the letters by my bed Sometimes death seems better than the migraine in my head Let it be said what the headache represents It's me defending in suspense, it's me suspended in a defenseless test Being tested by a ruthless examinant That's represented best by my depress...ing thoughts I do not have writer's block, my writer just hates the clock It will not let me sleep, I guess I'll sleep when I'm dead And sometimes death seems better than the migraine in my head  Am I the only one I know Waging my wars behind my face and above my throat? Shadows will scream that I'm alone But I know, we've made it this far... kid   Yeah, yeah, yeah   I am not as fine as I seem, pardon Me for yelling, I'm telling you green gardens Are not what's growing in my psyche, it's a different me A difficult beast feasting on burnt down trees Freeze frame, please let me paint a mental picture portrait Something you won't forget, it's all about my forehead And how it is a door that holds back contents That makes Pandora's box contents look non-violent Behind my eyelids are islands of violence My mind ship-wrecked, this is the only land my mind could find I did not know it was such a violent island Full of tidal waves, suicidal crazed lions They're trying to eat me, blood running down their chin And I know that I can fight, or I can let the lion win I begin to assemble what weapons I can find 'Cause sometimes to stay alive, you gotta kill your mind You might also like Am I the only one I know Waging my wars behind my face and above my throat? Shadows will scream that I'm alone But I know, we've made it this far... kid    Yeah, yeah, yeah  Yeah, yeah, yeah   And I will say that we should take a day to break away From all the pain our brain has made, the game is not played alone And I will say that we should take a moment and hold it And keep it frozen and know that life has a hopeful undertone And I will say that we should take a day to break away From all the pain our brain has made, the game is not played alone And I will say that we should take a moment and hold it And keep it frozen and know that life has a hopeful undertone   Am I the only one I know, oh Waging my wars behind my face and above my throat? Shadows will scream that I'm alone But I know, we've made it this far... kid  Made it this far Made it this f—170Embed"
Pumped Up Kicks,Foster The People,non-romance,none
Sail,AWOLNATION,non-romance,"Sail   This is how I show my love I made it in my mind because I blame it on my ADD, baby This is how an angel dies I blame it on my own sick pride Blame it on my ADD, baby  Sail Sail Sail Sail Sail   Maybe I should cry for help Maybe I should kill myself Blame it on my ADD, baby Maybe I'm a different breed Maybe I'm not listening So blame it on my ADD, baby   Sail Sail Sail Sail Sail   La-la-la-la-la, la-la-la-la-la, oh La-la-la-la-la, la-la-la-la-la, oh You might also like Sail Sail Sail Sail Sail   Sail  Sail  Sail  Sail173Embed"
