title,artist,mood,lyrics
Paris in the Rain,Lauv,in love,"All I know is  We could go anywhere, we could do Anything, girl, whatever the mood we're in All I know is  Getting lost late at night, under stars Finding love standing right where we are, your lips They pull me in the moment, you and I alone and People may be watching, I don't mind 'Cause  Anywhere with you feels right Anywhere with you feels like Paris in the rain Paris in the rain We don't need a fancy town Or bottles that we can't pronounce 'Cause anywhere, babe Is like Paris in the rain When I'm with you When I'm with you Paris in the rain Paris in the rain   I look at you now and I want this forever I might not deserve it but there's nothing better Don't know how I ever did it all without you My heart is about to, about to jump out of my chest Feelings they come and they go, that they do Feelings they come and they go, not with you The late nights and the street lights and the people Look at me, girl, and the whole world could stop   Anywhere with you feels right Anywhere with you feels like Paris in the rain Paris in the rain We don't need a fancy town Or bottles that we can't pronounce 'Cause anywhere, babe Is like Paris in the rain When I'm with you  When I'm with you  Paris in the rain Paris in the rain  You might also like Girl, when I'm not with you All I do is miss you So come and set the mood right Underneath the moonlight  Paint you with my eyes closed Wonder where the time goes  So come and set the mood right Underneath the moonlight   'Cause anywhere with you feels right Anywhere with you feels like Paris in the rain Paris in the rain Walking down an empty street Puddles underneath our feet40Embed"
ILYSB,LANY,in love,"Ain't never felt this way Can't get enough so stay with me It's not like we got big plans Let's drive around town holding hands   And you need to know You're the only one, alright, alright And you need to know That you keep me up all night, all night  Oh, my heart hurts so good I love you, babe, so bad, so bad Oh, oh my heart hurts so good I love you, babe, so bad, so bad   Mad cool in all my clothes Mad warm when you get close to me Slow dance these summer nights Our disco ball's my kitchen light   And you need to know That nobody could take your place, your place And you need to know That I'm hella obsessed with your face, your face   Oh, my heart hurts so good I love you, babe, so bad, so bad Oh, oh my heart hurts so good I love you, babe, so bad, so bad Oh, oh my heart hurts so good I love you, babe, so bad, so bad, oh You might also like And you need to know You're the only one alright, alright And you need to know That you keep me up all night, all night   Oh, my heart hurts so good I love you, babe, so bad, so bad Oh, oh my heart hurts so good I love you, babe, so bad, so bad, oh So bad, oh Oh, my heart hurt Oh, my heart hurt Oh, my heart hurt So bad, oh41Embed"
"she likes spring, I prefer winter",slchld,in love,"Stay by the fire You're giving looks like you're telling me I'm faded It's cold outside  But spring's in the corner and I'm waiting On the way to work, she saw the flowers bloomin' up Tellin' me how winter sucks for you What more that I can do? But we met this year last season That's why it's so memorable for me We've worked so hard to where we be And that's enough for me right now  What you've been dyin' to see But you be that flower for me I prefer marigold But it's the lily from the valley that you want What you've been dyin' to see But you be that flower for me I prefer marigold But it's the lily from the valley that you want  But I'd be so glad if I'm havin' you For this moment, yeah For this moment, yeah, yeah   Girl, give it up, give it up, give it up, give it up, that's it Don't let it hurt, let it hurt, let it hurt, nothing left to feel Winter or spring, it don't matter to me As long as you're here I can keep you warm 'til spring comes Yeah   Jasmine marigold winters, oh yeah Whichever blooms first, I might call you by that Whatever you like Daffodil or tulips, 'cause I really don't mind If that makes you happy, then I'll be  Happy too , oh Jasmine marigold winters, oh yeah Whichever blooms first, I might call you by that Whatever you like Daffodil or tulips, 'cause I really don't mind You might also like Girl, give it up, give it up, give it up, give it up, that's it Don't let it hurt, let it hurt, let it hurt, nothing left to feel Winter or spring, it don't matter to me As long as you're here I can keep you warm 'til spring comes  Girl, give it up, give it up, give it up, give it up, that's it Don't let it hurt, let it hurt, let it hurt, nothing left to feel  Winter or spring it don't matter to me  As long as you're here I can keep you warm 'til spring comes Yeah4Embed"
I Wanna Be Yours,Pink Sweat$,in love,"Ooh, ooh-ooh, ooh, ooh, yeah, uh   Honey, won’t you come with me? I’ll make sure you get all your diamond rings Right here is where I wanna be , ayy We’re floating on the wings of timeless love    Oh, I know-oh-oh-oh That your heart’s stuck with someone else But you should know-oh-oh-oh That I want you and no one else, ayy  I wanna be, ooh, I wanna be yours Drop-top riding down this road You wanna be, ayy, you wanna be sure Just test my love, you’ll see it’s yours I wanna be, ayy , I wanna be yours Drop-top riding down this road You wanna be, ayy , you wanna be sure Just test my love, you’ll see it’s yours   잘록한 허리, that’s mine 널 갖고 싶어 매일 밤, yeah We’re going to the next round I’ll get you to just lay down   Oh, I know-oh-oh-oh That your heart's stuck with someone else But you should know-oh-oh-oh That I want you and no one else   I wanna be, ooh, I wanna be yours Drop-top riding on this road You wanna be, yeah , you wanna be sure Just test my love, you’ll see it’s yours I wanna be, yeah , I wanna be yours Drop-top riding on this road You wanna be, yeah , you wanna be sure Just test my love, you’ll see it’s yours, ayy You might also like You’re my fantasy, can’t stop madly loving you My heart is all yours, you can just take it Why do we need to play these mind games? You know we’re meant to be I’ll give you what you need, don’t play hard-to-get   Oh, I know-oh-oh-oh That you are flirting with someone else But you should know-oh, oh-oh-oh I won’t let you feel alone, that’s right   I wanna be, ooh , I wanna be yours Drop-top riding down this road You wanna be, yeah , you wanna be sure Just test my love, you’ll see it’s yours I wanna be, yeah , I wanna be yours Drop-top riding down this road You wanna be, yeah , you wanna be sure Just test my love, you’ll see it’s yours   Ooh-ooh-ooh, ooh-oh Ooh-ooh-ooh, ooh-ooh, ooh-ooh-oh Yeah, yeah-eah, uh Ooh, ooh-ooh, ooh-ooh, yeah, uh1Embed"
17,Pink Sweat$,in love,"I would need a million words If I tried to define All the things you mean to me, yeah For you, I'd die a thousand lives Special kind of energy ’Cause love is born when hearts collide Every time you touch me You remind me that I'm still alive   So promise you'll never change And I’ll always be the same We'll be dancing the same groove when we're ninety-two The same as seventeen And I'll never lie to you Just don't you hold back on me I wanna love you as strong when we're ninety-two The same as seventeen  I don't really know what's right But I could never call you wrong I just wanna dance wit’ you Floatin’ over marble floors You're something like an angel You do something to my mind I could see a thousand years When I’m lookin' in your eyes   So promise you'll never change And I'll always be the same We’ll be dancing the same groove when we're ninety-two The same as seventeen And I'll never lie to you Just don't you hold back on me I wanna love you as strong when we're ninety-two The same as seventeen   Just promise you'll never change And I'll always be the same We'll be dancing the same groove when we're ninety-two The same as seventeen And I'll never lie to you Just don't you hold back on me I wanna love you as strong when we're ninety-two The same as seventeenYou might also like2Embed"
At My Worst,Pink Sweat$,in love,"Can I call you baby? Can you be my friend? Can you be my lover up until the very end? Let me show you love, oh, no pretend Stick by my side even when the world is caving in, yeah   Oh, oh, oh, don't, don't you worry I'll be there whenever you want me   I need somebody who can love me at my worst Know I'm not perfect, but I hope you see my worth 'Cause it's only you, nobody new, I put you first And for you, girl, I swear I'd do the worst  Ooh, ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh-ooh   If you stay forever, let me hold your hand I can fill those places in your heart no one else can Let me show you love, oh, no pretend, yeah I'll be right here, baby, you know it's sink or swim   Oh, oh, oh, don't, don't you worry I'll be there whenever you want me   I need somebody who can love me at my worst Know I'm not perfect, but I hope you see my worth, yeah 'Cause it's only you, nobody new, I put you first  And for you, girl, I swear I'd do the worst   Ooh, ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh-ooh Ooh-ooh-ooh, ooh, ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh-ooh You might also like I need somebody who can love me at my worst Know I'm not perfect, but I hope you see my worth 'Cause it's only you, nobody new, I put you first And for you, girl, I swear I'd do the worst11Embed"
beside you,keshi,in love,"Oh!   It's just you and I, and no other guys We got no interruptions and we both feelin' the vibe Say I'm not your type, but I know what's on your mind We can talk about nothin' or we can see what it's like   Don't lie, baby, don't lie His love never felt right Switch sides and I'm beside you If you say it's alright   Way too many heads, need a steady view Smokin' cigarettes at the rendezvous Never meant to cross you But my jaw hit the floor with the one, two Think I want you You say this ain't love, but it's still the same love Make love, anything to sate ya Don't be shy, you decide Say, can I make you mine?   Don't lie, baby, don't lie His love never felt right Switch sides and I'm beside you If you say it's alright   Don't lie, baby, don't lie His love never felt right Switch sides and I'm beside you If you say it's alright     Your skin, so fine  Come close, baby, put it on mine  Your skin, so fine  Come close, baby, put it on mine You might also like It's just you and I, and no other guys We got no interruptions and we both feelin' the vibe Say I'm not your type, but I know what's on your mind We can talk about nothin' or we can see what it's like No, oh, oh   Don't lie, baby, don't lie  His love never felt right  Switch sides and I'm beside you If you say it's alright     10Embed"
magnolia,keshi,in love,"Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh   You're so beautiful Beautiful, beau-beau-beautiful Beautiful  Beautiful, beautiful Beau-beau-beautiful Beautiful   Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh   You're so beautiful Beautiful, beau-beau-beautiful Beautiful  Beautiful, beautiful Beau-beau-beautiful Beautiful    Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, ohYou might also like1Embed"
I Like U,NIKI,in love,"I guess this is a bitter end I didn't see coming And I'm havin' a little bit of trouble accepting, too I don't know what to say to you There's nothing I can do to reset your point of view We both said this was just physical Well, one of us lied, can't set feelings aside, truth be told, yeah You asked to see me once again at half past ten I got nervous, so I got faded, made things complicated   I'm sorry for the stupid shit I said You ordered fun, I served you threads It's probably good you left 'cause I finally admit  I like you, I like you, I like you Sorry, I never meant to But who we kidding, it wasn't like I had a say One look at you and I won't have it any other way I want you, I want you, I want you I want you to want me too I know that I signed up for this casually But I fell for your tricks, now I'm the casualty   Can we just reset, restart and then replay Take me back to when all You wanted was to love on me every day, yeah I like you, I like you, I like you Words I won't ever hear from you Wishin' I could turn back the hands of time To when I feel your hands on me and your lips on mine   I know that that was too much the last time you saw me And I don't blame you for getting over everything so easy But I just can't seem to figure you out you goddamn mystery Good God, how you kiss me Didn't think it'd be distress galore Thought I just wanted you there With your hands in my hair But I craved more And you just wanted rock 'n roll, no heart and soul And I knew that from the beginning So why don't I feel like I'm winning? You might also like Ladies and gentlemen, I'm the joke The punchline that got too old It's killing me to see you gone 'cause I never told you   I like you, I like you, I like you Sorry, I never meant to But who we kidding, it wasn't like I had a say One look at you and I won't have it any other way I want you, I want you, I want you I want you to want me too I know that I signed up for this casually But I fell for your tricks, now I'm the casualty   Can we just reset, restart and then replay Take me back to when all You wanted was to love on me every day, yeah I like you, I like you, I like you Words I won't ever hear from you Wishin' I could turn back the hands of time To when I feel your hands on me and your lips on mine   Something 'bout you makes me difficult But that makes us even 'cause you top of the charts Egotistical, it's so typical For me to fall for your kind But, oh God, I wish you were mine  I like you, I like you, I like you Sorry, I never meant to But who're we kidding, it wasn't like I had a say One look at you and I won't have it any other way I want you, I want you, I want you I want you to want me too Would it be a stretch if I asked you to try again? I'll be patient, I swear I'll even count to ten One, two, three, four, five Fuck it   Can we just reset, restart and then replay  Take me back to when all You wanted was to love on me every day, yeah I like you, I like you, I like you Words I won't ever hear from you  Wishin' I could turn back the hands of time To when ""I like you"" was only just a secret Crime   Yeah, uh18Embed"
lowkey,NIKI,in love,"Wonder what I'll do when the cops come through And the whiskey's run out 'Cause I've been lookin' at you since half past two Wanna take this downtown? This liquid courage got me way too honest Put your phone on vibrate, let's catch a vibe, babe While the sun's down Hush now, I know we're a little too fucked up to stay still, love Be as quiet as you can, 'cause if anyone sees They'll just blow shit up I don't gotta know if you're taken I'll just let ya know bedroom's vacant No one's gotta know, just us and the moon 'til the sun starts wakin'  Up's the only direction I see As long as we keep this   Low, low, low, low, low, low, low, low-key  You ain't even gotta lo- lo- lo- lo- lo- lo- lo-love me  Us in a king-size, keep it a secret Say I'm your queen, I don't wanna leave this Low, low, low, low, low, low, low, low-key   Wizard with words tellin' me my energy's so bewitchin' So I'll go first, there's an open bar, let's close this distance Oh, oh, oh, oh, oh my, don't make me have to spell it all night I don't really give a fuck 'bout all the 'he said, she said' bullshit So pick your poison, love, let's go somewhere a little more exclusive Take a shot, take a chance, take my hand, boy Tension so intense like an asteroid Be discreet, gotta dodge all the tabloids   Let's not think too much, there ain't no problems So long as we keep this   Low, low, low, low, low, low, low, low-key  You ain't even gotta lo- lo- lo- lo- lo- lo- lo-love me  Us in a king-size, keep it a secret Say I'm your queen, I don't wanna leave this Low, low, low, low, low, low, low, low-key You might also like Low-key, low-key Low-key, low-key10Embed"
Indigo,88rising,in love,"Oh-oh-oh-oh-oh Oh-oh-oh-mm-mm Yeah, yeah Yeah, yeah   You know I’m your type, right?  Mark your calendar, tonight’s gonna be your life’s highlight  Boy, we gon' roll up, we gon' roll out, look This is the land of fast, bet you ain’t used to that, nah First to one-up your last, she can stay in your past Honey, I don’t stop for no one but I’d pause for you, you, you, you  So let’s go downtown and get real high It’d be psycho to psychoanalyze Leave all of your inhibitions behind Tonight let’s test all the borderlines like  How far out does the indigo go? Boy, let’s find out, take the longer way home Have my body all superimposed Right on top of yours, oh As far as the indica goes I’m hating that you’re still in your clothes Babe, touch me slow all adagio Like oh-oh-oh-oh, yeah   Know you like a little attitude  A little spunk, a little gumption Well baby, have a lot of gratitude 'Cause I can be sweet, or poised, or a little too feisty to function, yeah So shut up and just hop in, we gon' ride in style If thrill was a sport, I’d be the poster child I listen to none, but I’m all ears for you, you, you, yeah   So let’s drive by the city skyline I’m so over this overthinkin' mind Leave all of your inhibitions behind Tonight let’s test all the borderlines like You might also like How far out does the indigo go? Boy, let’s find out, take the longer way home Have my body all superimposed Right on top of yours, oh As far as the indica goes I’m hating that you’re still in your clothes Babe, touch me slow all adagio Like oh-oh-oh-oh, yeah   Baby go slow, slow, slow, slow  Under the indigo, go  Steady and slow, slow, slow, slow  Under the indigo, indigo23Embed"
I Love You 3000 II,88rising,in love,"Baby, take my hand I want you to be my best friend 'Cause you're my Iron Man And I love you 3000 Baby, take a chance 'Cause I want this to be somethin' Straight out of a Hollywood movie   See you standing there And nothing compares And all I can think Is, ""Where is the ring?"" 'Cause I know you wanna ask Scared the moment will pass I can see it in your eyes Just take me by surprise  And all my friends, they tell me they see You're planning to get on one knee But I want it to be out of the blue So make sure I have no clue When you ask   Baby, take my hand I want you to be my best friend 'Cause you're my Iron Man And I love you 3000 Baby, take a chance 'Cause I want this to be somethin' Straight out of a Hollywood movie   I see you standing there And I can't help but stare I'm ready to bring Your wedding ring On the day that we met I wanted to ask If you'd be by my side forever   And all your friends, they tell you they see Me planning to get on one knee I'll make sure it's out of the blue I promise you'll have no clue When I ask You might also like Baby, take my hand I just wanna be your best friend 'Cause I'm your Iron Man And I love you 3000 Baby, take a chance 'Cause I want this to be something Straight out of a Hollywood movie   Da da, da da da dum No spoilers please Da da, da da da dum No spoilers please   Baby, take my hand I want you to be my best friend 'Cause I'm your Iron Man And I love you 3000 Baby, take a chance 'Cause I want this to be something Straight out of a Hollywood movie, baby   Da da, da da da dum No spoilers please Da da, da da da dum No spoilers please Da da, da da da dum No spoilers please Da da, da da da dum And I love you 30008Embed"
Lover Boy,Phum Viphurit,in love,"Wandering the streets all through the night Searching for the one to make me right Wondering if she's the shade of you And if so, should I try to see it through   Darling, I got my trust issues Warning you, stay away If we meet at the rendezvous Take me away, sunray Darling, I got my trust issues Warning you, stay away If we meet at the rendezvous Take me away, sunray  Time and toys May fill my heart with joy I'll know peace when I'm your lover boy   I'll be your new school soul Silver and gold New desire Friends on fire Call me ""Lover boy""   Darling, I got my trust issues Warning you, stay away If we meet at the rendezvous Take me away, sunray Darling, I got my trust issues Warning you, stay away If we meet at the rendezvous Take me away, sunrayYou might also like32Embed"
It's You,Henry,in love,"Baby I'm falling head over heels Looking for ways to let you know just how I feel I wish I was holding you by my side I wouldn't change a thing 'cause finally it's real   I'm tryna hold back, you oughta know that You're the one that's on my mind Falling too fast, deeply in love Finding the magic in the colors of you  You're the right time at the right moment You're the sunlight, keeps my heart going, woah Know when I'm with you can't keep myself from falling Right time at the right moment It's you You, it's you You, it's you   Baby I'm falling deeper in love Everything that you are is all I'm dreaming of And if I can break enough to show you that I need us I'd give up everything I have, girl, just for you   I'm tryna hold back, you oughta know that You're the one that's on my mind Falling too fast deeply in love Girl, all I need to breathe is you   'Cause you're the right time at the right moment You're the sunlight, keeps my heart going, oh-woah Know when I'm with you, I can't keep myself from falling Right time at the right moment It's you You might also like Every night in my bed I'm dreaming That it's you in my arms I'm holding Girl, all I want is you You know you're the right time at the right moment You're the sunlight, keeps my heart going It's you, you, you, yeah   'Cause you're the right time at the right moment You're the sunlight keeps my heart going Know when I'm with you, I can't keep myself from falling Right time at the right moment It's you You, it's you You, it's you   You, it's you You, it's you It's you2Embed"
I′m Always by Your Side,John Park,in love,When I walk down a road I don't know well And I’m full of scare and doubt I think of you I think of you And when life shuts me down And there’s no way to win Sometimes I just wanna cry I think of you  I think of you   When you called my name I can see the light Guiding me home like The stars in the night I’ve already known I’ve already known I’m lost without your arms around me  I’m always by your side my love And this love's entirely for you With you from you I’m always by your side my love From now on my everything’s for you With you from you   When I'm lost in my thoughts Lying awake in the night And I need to clear my head I think of you I think of you Cause I worry too much All my fears amplify Sometimes I just wanna run I think of you  I think of you   Whеn you called my name I can see the light Guiding mе home like The stars in the night I’ve already known I’ve already known I’m lost without your arms around me You might also like I’m always by your side my love And this love's entirely for you With you from you I’m always by your side my love From now on my everything’s for you With you from you   There’s no one else I’ve got in this world How could I live without you Until the sun cools down we will love Nothing can stop us no one can hurt us I’ll be forever in your arms   I’m always by your side my love And this love's entirely for you With you from you I’m always by your side my love From now on my everything’s for you With you from youEmbed
